Display,Review result,Main limitation,Needed supplement or decision
eTable 6,Community-area labels moved 76 hypertension tracts and 101 COPD tracts into or out of Q4. Annual Q4 Jaccard overlap ranged from 60.5% to 73.1% for hypertension and 41.1% to 49.2% for COPD.,"Linked area values are direct measures, not literal aggregations of tract values.",Add an explicitly population-weighted aggregation experiment only if a valid crosswalk estimand is approved.
eTable 7,"Estimator, uncertainty, availability, and governance status for A1 through A7.",A methods-status table cannot resolve open statistical choices.,"Sign the VPC, AUC, bootstrap, agreement, and spatial decision rows."
eTable 8,Condition-specific Q4 transitions and represented mean annual source denominators.,Source denominators are repeated records rather than unique people.,Add deduplicated denominators or retain the current source-record label.
eTable 9,Uncertainty-aware agreement ran only where compatible uncertainty inputs existed.,Missing CHM and comparator uncertainty prevents joint error propagation.,"Obtain standard errors, replicate weights, or validated uncertainty bounds from both sources."
eFigure 1,"Source assembly, joins, exclusions, and analytic-frame counts.",Counts mix records and areas and are not patient attrition.,Add a unique-patient flow only if governed identifiers permit deduplication.
eFigure 2,"Annual availability, suppression, denominator, and capture patterns.",Annual changes may reflect source operations or denominator definitions.,Annotate source-policy changes and verify denominator semantics by year.
eFigure 3,"Cardiometabolic quartile, VPC, and AUC review outputs; diabetes remains not run.","AUC is area-label separation, not disease prediction; VPC is an observed-scale descriptive partition.","Approve the VPC estimator, AUC construct, and combined-diabetes semantics."
eFigure 4,"Direct tract and linked community-area quartiles disagreed for 255 of 722 hypertension tracts (35.3%) and 206 of 411 COPD tracts (50.1%). Within-community variation accounted for 0.195 of observed tract variation in hypertension and 0.469 in COPD. In the secondary cross-source analysis, Spearman rho was 0.880 for hypertension and 0.739 for COPD.",Cross-source agreement lacks joint source-uncertainty propagation.,Add approved cluster intervals and source-uncertainty analysis when inputs exist.
eFigure 5,Local Moran I and Getis-Ord Gi* counts before and after FDR control.,"Findings depend on topology, permutation count, and FDR family.","Approve weights, 9999 permutations, local statistics, and family boundaries."
eFigure 6,"The prespecified C1 model was not run because mutual exclusivity and denominator equivalence for the 2 diabetes components remain unapproved. No coefficient, confidence interval, influence result, or residual diagnostic was estimated.",No C1 analytic population exists while combined-diabetes semantics remain unapproved.,Document mutual exclusivity and denominator equivalence before any C1 fit.
eFigure 7,"Among 76 eligible community areas, a 1-IQR higher recorded COPD proportion was associated with -2.60 years of life expectancy (97.5% CI, -4.83 to -0.37) after adjustment. Residual Moran I was 0.209 (permutation P=0.0023); the spatial-error estimate was -2.73 years and did not change direction.",Ecological coefficients are noncausal and CIs omit source-measurement error.,Approve z vs t critical values and inspect the full covariance and diagnostics.
eFigure 8,"C2 residual, Q-Q, leverage, and Cook-distance diagnostics for 76 areas.",Graphical diagnostics have limited power in a small spatial sample.,"Review flagged areas, residual shape, and influence thresholds with leave-one-area-out results."
eFigure 9,"C2 temporal, weighting, capture, and influence sensitivity estimates.",Sensitivity variants do not eliminate ecological or selection bias.,Identify the prespecified minimum set for the final supplement.
eFigure 10,"Among 76 eligible community areas, a 1-IQR higher recorded COPD proportion was associated with -2.60 years of life expectancy (97.5% CI, -4.83 to -0.37) after adjustment. Residual Moran I was 0.209 (permutation P=0.0023); the spatial-error estimate was -2.73 years and did not change direction.",The spatial-error fit uses one primary topology and a bounded maximum-likelihood estimate of lambda.,"Approve queen, rook, and connected-distance weights plus the spatial-error estimator."
eFigure 11,Community-area labels moved 76 hypertension tracts and 101 COPD tracts into or out of Q4. Annual Q4 Jaccard overlap ranged from 60.5% to 73.1% for hypertension and 41.1% to 49.2% for COPD.,"ZCTAs are Census statistical areas, not USPS ZIP Codes; cross-frame values are direct.",Retain community-area and ZCTA results as separate sensitivities and document crosswalk rules.
eFigure 12,Counts of local spatial signals before and after BH-FDR.,FDR control is conditional on declared families and does not prove cluster reproducibility.,Approve family definitions and repeat under alternative spatial weights.
