sample_n,spearman_r,quadratic_weighted_kappa,gwet_ac1,median_absolute_percentile_rank_gap,discordance_category_total,condition_id,stratum,capture_quartile,reliability_tier,source_reliability_provenance,assignment_rule,crossing_sensitivity,analysis_status,interpretation_label,results_authorized,noncrossing_only,capture_quartile_cut_points,capture_quartile_cut_point_source
2,,0,0.428571428571,0.275969529086,2,hypertension,capture=Q1;reliability=Minimal (<2%),Q1,Minimal (<2%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Minimal (<2%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
14,0.849285442413,0.75,0.643312101911,0.0512465373961,14,hypertension,capture=Q1;reliability=Moderate (5-10%),Q1,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
162,0.885547542942,0.797811059908,0.615161480596,0.060595567867,162,hypertension,capture=Q2;reliability=Moderate (5-10%),Q2,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
50,0.678017398805,0.729458917836,0.549587121528,0.0799861495845,50,hypertension,capture=Q3;reliability=High (10-20%),Q3,High (10-20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
151,0.910142467898,0.867682760404,0.572736109641,0.0810249307479,151,hypertension,capture=Q3;reliability=Moderate (5-10%),Q3,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
154,0.627547852841,0.714975845411,0.578412720276,0.0952216066482,154,hypertension,capture=Q4;reliability=High (10-20%),Q4,High (10-20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
13,0.620879120879,0.847953216374,0.6276849642,0.0789473684211,13,hypertension,capture=Q4;reliability=Very High (>=20%),Q4,Very High (>=20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Very High (>=20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
144,0.664370763064,0.630555555556,0.342599637778,0.138888888889,144,copd,overall,all,all,source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Low (2-5%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Very High (>=20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
22,0.0386813761569,-0.0198675496689,0.0732777534006,0.230902777778,22,copd,capture=Q1;reliability=Low (2-5%),Q1,Low (2-5%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Low (2-5%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
28,0.337306736761,0.192792792793,0.459517426273,0.138888888889,28,copd,capture=Q2;reliability=Moderate (5-10%),Q2,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
11,0.433794476728,0.428571428571,0.04,0.125,11,copd,capture=Q3;reliability=High (10-20%),Q3,High (10-20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
27,0.714483748723,0.733464955577,0.411087549228,0.125,27,copd,capture=Q3;reliability=Moderate (5-10%),Q3,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
53,0.795871058912,0.765678729327,0.482686497792,0.0972222222222,53,copd,capture=Q4;reliability=High (10-20%),Q4,High (10-20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
3,0.5,0,0.2,0.263888888889,3,copd,capture=Q4;reliability=Very High (>=20%),Q4,Very High (>=20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Very High (>=20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
245,0.883556455863,0.85142114558,0.521092867853,0.0816326530612,245,hypertension,overall,all,all,source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Low (2-5%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Very High (>=20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
61,0.601264162405,0.600934579439,0.414868105516,0.0938775510204,61,hypertension,capture=Q1;reliability=Low (2-5%),Q1,Low (2-5%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Low (2-5%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
1,,,1,0.0530612244898,1,hypertension,capture=Q1;reliability=Moderate (5-10%),Q1,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
63,0.882055718729,0.760851625681,0.535353535354,0.0551020408163,63,hypertension,capture=Q2;reliability=Moderate (5-10%),Q2,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
16,0.681383554594,0.84126984127,0.621749408983,0.10306122449,16,hypertension,capture=Q3;reliability=High (10-20%),Q3,High (10-20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
43,0.924337388424,0.874440334826,0.536360368995,0.069387755102,43,hypertension,capture=Q3;reliability=Moderate (5-10%),Q3,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
58,0.710299640015,0.796276782578,0.639422197842,0.0867346938776,58,hypertension,capture=Q4;reliability=High (10-20%),Q4,High (10-20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
3,0.5,1,1,0.0612244897959,3,hypertension,capture=Q4;reliability=Very High (>=20%),Q4,Very High (>=20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Very High (>=20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,noncrossing_only,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,True,0.0518|0.0735|0.1127,governed_community_area_eligible_population
